,Source,Target,l2d,jsd,Adaptivity,Source Accuracy,serving,finetune,max_voting_jsd_%,max_voting_Adaptivity_%,max_voting_l2d_%,max_voting_Source Accuracy_%
142,pamap_c,pamap_w,0.6224513368289345,0.005971935771436991,7.0,0.8988580703735352,0.5308037400245667,0.7343941330909729,80.2154750244858,,78.2239634345413,6.594841658504734
154,pamap_a,pamap_w,0.7438702278457157,0.014660094463702061,7.0,0.7226753830909729,0.4773561954498291,0.7294981479644775,70.64968984655566,,80.47665687234738,
57,dsads_ll,pamap_w,1.7290377475872734,0.044447775350239555,4.0,0.6979166865348816,0.3370053172111511,0.6499388217926025,,,,
45,dsads_rl,pamap_w,1.791822043928723,0.04889199356962531,4.0,0.6432291865348816,0.24112607538700104,0.7148102521896362,,,,
9,dsads_t,pamap_w,1.713111541394214,0.041491341550707966,4.0,0.609375,0.23867809772491455,0.6923704743385315,,,,
21,dsads_ra,pamap_w,1.5787195774400735,0.03285874509306591,4.0,0.7473958134651184,0.23459812998771667,0.6923704743385315,,,,
69,oppo_b,pamap_w,1.3848713151810874,0.041871428819737766,11.0,0.9104477763175964,0.23459812998771667,0.7609139084815979,,99.86940907606922,,99.77146588312112
81,oppo_rua,pamap_w,1.2518489980283676,0.05233260150115018,11.0,0.8975124359130859,0.23459812998771667,0.7539779543876648,,99.86940907606922,,99.77146588312112
105,oppo_lua,pamap_w,1.2778060308724122,0.05102607549427848,11.0,0.8845770955085754,0.23459812998771667,0.7527539730072021,,99.93470453803461,,
117,oppo_lla,pamap_w,1.100289643722318,0.04982751860795863,11.0,0.8328357934951782,0.15993471443653107,0.7384740710258484,,,22.494286647078027,
93,oppo_rla,pamap_w,1.1851976089966794,0.05535440736276366,11.0,0.841791033744812,0.12525500357151031,0.7498980164527893,,,,
33,dsads_la,pamap_w,1.4640210467752153,0.030520585614156482,4.0,0.71875,0.03794369474053383,0.6674826741218567,13.091740124061376,,,
130,pamap_w,pamap_c,0.6224513368289345,0.005971935771436991,7.0,0.809135377407074,0.627498984336853,0.8008975982666016,73.68592882794646,,82.46816846229187,
155,pamap_a,pamap_c,0.6469477697332127,0.019263741839029555,7.0,0.7226753830909729,0.372501015663147,0.8139534592628479,41.82174338883448,,48.84100555011427,
58,dsads_ll,pamap_c,1.4295567927772712,0.04594797415884502,4.0,0.6979166865348816,0.29702162742614746,0.7935536503791809,,,,
46,dsads_rl,pamap_c,1.4893144431976322,0.05265581836314931,4.0,0.6432291865348816,0.24112607538700104,0.7849857211112976,,,,
10,dsads_t,pamap_c,1.3512338985024208,0.03798386860050876,4.0,0.609375,0.23867809772491455,0.7764177918434143,,,,
22,dsads_ra,pamap_c,1.2707840553120116,0.03707095810490852,4.0,0.7473958134651184,0.23459812998771667,0.7923296689987183,,,,
82,oppo_rua,pamap_c,1.2421944058913095,0.05273134862730671,11.0,0.8975124359130859,0.1978784203529358,0.8743370175361633,,91.28305582761999,,88.57329415605616
70,oppo_b,pamap_c,1.3232739846274117,0.04017804163545723,11.0,0.9104477763175964,0.12811097502708435,0.8739290237426758,,88.41005550114266,,91.38099902056807
118,oppo_lla,pamap_c,1.1175962082008288,0.047397072265924475,11.0,0.8328357934951782,0.12117502838373184,0.806609570980072,,61.965393405158345,40.41789095657852,
94,oppo_rla,pamap_c,1.2522046481340776,0.0579054233362737,11.0,0.841791033744812,0.0685434490442276,0.8629130721092224,,,,
106,oppo_lua,pamap_c,1.2732976894855434,0.05197982920144348,11.0,0.8845770955085754,0.060791514813899994,0.8470011949539185,,,,93.17662422461639
34,dsads_la,pamap_c,1.2339107943121956,0.033504192078300875,4.0,0.71875,0.02243982069194317,0.783761739730835,25.824355207313094,,,
131,pamap_w,pamap_a,0.7438702278457157,0.014660094463702061,7.0,0.809135377407074,0.6221950054168701,0.6882904767990112,63.53248449232778,,76.85275873326803,
143,pamap_c,pamap_a,0.6469477697332127,0.019263741839029555,7.0,0.8988580703735352,0.5589555501937866,0.6776825785636902,65.65458700620307,,62.55305256284688,33.006856023506366
59,dsads_ll,pamap_a,1.3660612804728034,0.033579029283322605,4.0,0.6979166865348816,0.40473276376724243,0.6617707014083862,,,,
11,dsads_t,pamap_a,1.4032817639709885,0.036235884046336514,4.0,0.609375,0.2774377763271332,0.631170928478241,,,,
71,oppo_b,pamap_a,1.2269801662134652,0.04049021817395684,11.0,0.9104477763175964,0.2529579699039459,0.6715626120567322,,95.62520404831865,,84.26379366634019
107,oppo_lua,pamap_a,1.1879250004571695,0.056170733890847827,11.0,0.8845770955085754,0.2517339885234833,0.6780905723571777,,85.70029382957884,,
47,dsads_rl,pamap_a,1.427836502119742,0.03854693541573591,4.0,0.6432291865348816,0.24724602699279785,0.6793145537376404,,,,
83,oppo_rua,pamap_a,1.1516059179112317,0.05928646548178739,11.0,0.8975124359130859,0.24235005676746368,0.6993064284324646,,87.23473718576558,,84.62291870714985
23,dsads_ra,pamap_a,1.2798962699267704,0.028512254276796392,4.0,0.7473958134651184,0.23459812998771667,0.6413708925247192,,,,
119,oppo_lla,pamap_a,1.0029955422231984,0.062375460356765916,11.0,0.8328357934951782,0.21093431115150452,0.6793145537376404,,,45.83741429970617,
95,oppo_rla,pamap_a,1.0974369796484915,0.06284594640386379,11.0,0.841791033744812,0.1534067690372467,0.669930636882782,,,,
35,dsads_la,pamap_a,1.2135966390237805,0.027482085757806224,4.0,0.71875,0.029783761128783226,0.6817625164985657,32.51714005876592,,,
